generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
145,180,0.11031758785247803,0.3081181049346924,24.35088348388672,0.11031758785247803
146,180,0.12181192636489868,0.28285831212997437,18.693056106567383,0.12181192636489868
147,180,0.1130325198173523,0.22583305835723877,15.39213752746582,0.1130325198173523
148,180,0.1174854040145874,0.20807921886444092,15.126404762268066,0.1174854040145874
149,180,0.10950183868408203,0.17298805713653564,13.574386596679688,0.10950183868408203
150,180,0.11070007085800171,0.18253225088119507,13.042176246643066,0.11070007085800171
151,180,0.11159312725067139,0.19123175740242004,13.279099464416504,0.11159312725067139
152,180,0.111225426197052,0.6152769327163696,16.523845672607422,0.111225426197052
153,180,0.11054211854934692,0.3402842879295349,14.044683456420898,0.11054211854934692
154,180,0.1087867021560669,0.6921504139900208,15.381251335144043,0.1087867021560669
155,180,0.11355853080749512,0.6979039311408997,15.408208847045898,0.11355853080749512
156,180,0.1067817211151123,0.5119486451148987,12.940540313720703,0.1067817211151123
157,180,0.10976612567901611,0.3759176731109619,14.713150024414062,0.10976612567901611
158,180,0.10887157917022705,0.3442210555076599,14.292928695678711,0.10887157917022705
159,180,0.10852539539337158,0.18874523043632507,12.418136596679688,0.10852539539337158
160,180,0.11060094833374023,0.3160302937030792,16.689064025878906,0.11060094833374023
161,180,0.11042290925979614,0.30500710010528564,20.165990829467773,0.11042290925979614
162,180,0.10883867740631104,0.5550696849822998,12.669124603271484,0.10883867740631104
163,180,0.10753953456878662,0.40476852655410767,12.808915138244629,0.10753953456878662
164,180,0.11173421144485474,0.6683024168014526,22.266603469848633,0.11173421144485474
165,180,0.10864132642745972,0.31888091564178467,11.884859085083008,0.10864132642745972
166,180,0.10929703712463379,0.367613285779953,12.399003028869629,0.10929703712463379
167,180,0.11017096042633057,0.34344038367271423,15.756338119506836,0.11017096042633057
168,180,0.11055350303649902,0.3033071756362915,11.654837608337402,0.11055350303649902
169,180,0.11021870374679565,0.29419365525245667,14.405633926391602,0.11021870374679565
170,180,0.10867232084274292,0.3361087143421173,10.82813835144043,0.10867232084274292
171,180,0.11191612482070923,0.5163208246231079,19.538423538208008,0.11191612482070923
172,180,0.11273908615112305,0.5963555574417114,13.716814994812012,0.11273908615112305
173,180,0.10938388109207153,0.20871466398239136,10.960824012756348,0.10938388109207153
174,180,0.10724860429763794,0.25597378611564636,11.18160629272461,0.10724860429763794
175,180,0.10866332054138184,0.4468250274658203,11.615804672241211,0.10866332054138184
176,180,0.10821545124053955,0.17618617415428162,11.164531707763672,0.10821545124053955
177,180,0.10659277439117432,0.19604161381721497,9.518369674682617,0.10659277439117432
178,180,0.10900366306304932,0.17346850037574768,10.215277671813965,0.10900366306304932
179,180,0.1082381010055542,0.3082766532897949,15.047430038452148,0.1082381010055542
180,180,0.10758960247039795,0.16770410537719727,13.272149085998535,0.10758960247039795
181,180,0.10573267936706543,0.1475154161453247,10.636992454528809,0.10573267936706543
182,180,0.10673165321350098,0.2575889825820923,12.124141693115234,0.10673165321350098
183,180,0.10470312833786011,0.19093656539916992,15.837196350097656,0.10470312833786011
184,180,0.1067885160446167,1.461059808731079,11.936156272888184,0.1067885160446167
185,180,0.1059868335723877,0.24696511030197144,10.609650611877441,0.1059868335723877
186,180,0.10643255710601807,1.3315832018852234,11.39975643157959,0.10643255710601807
187,180,0.10731667280197144,0.22032305598258972,14.296541213989258,0.10731667280197144
188,180,0.10833489894866943,1.3482038974761963,18.538604736328125,0.10833489894866943
189,180,0.10578954219818115,0.7361177206039429,12.47627067565918,0.10578954219818115
190,180,0.1062626838684082,0.1992919147014618,16.75879669189453,0.1062626838684082
191,180,0.10604280233383179,1.1992132663726807,13.518274307250977,0.10604280233383179
192,180,0.10526573657989502,0.7425822913646698,13.110516548156738,0.10526573657989502
193,180,0.10712051391601562,0.6269116401672363,21.48971939086914,0.10712051391601562
194,180,0.10700398683547974,0.758840024471283,14.648877143859863,0.10700398683547974
195,180,0.1050562858581543,0.5687584280967712,11.976879119873047,0.1050562858581543
196,180,0.10598021745681763,0.5447615385055542,16.430421829223633,0.10598021745681763
197,180,0.10498523712158203,1.577683687210083,12.763714790344238,0.10498523712158203
198,180,0.10746896266937256,0.44061318039894104,19.088716506958008,0.10746896266937256
199,180,0.10671329498291016,1.3967228531837463,10.46456241607666,0.10671329498291016
200,180,0.10596132278442383,1.131050944328308,14.031445503234863,0.10596132278442383
201,180,0.10455179214477539,0.19759008288383484,10.28612995147705,0.10455179214477539
202,180,0.1050182580947876,0.12957581877708435,11.61877155303955,0.1050182580947876
203,180,0.1034996509552002,0.12226063013076782,12.241182327270508,0.1034996509552002
204,180,0.10474658012390137,0.12463828921318054,8.327549934387207,0.10474658012390137
205,180,0.10464209318161011,0.14001306891441345,10.384394645690918,0.10464209318161011
